,title,location,price(L),rate_persqft,area_insqft,building_status,agent_rating,longitude,latitude
0,Residential Plot,Maheshwaram,45.0,1111,4050,New,4.6,78.4338212,17.1350798
1,Residential Plot,Maheshwaram,23.97,888,2700,New,3.9,78.4338212,17.1350798
2,3 BHK Villa,Maheshwaram,140.0,6379,2209,Under Construction,4.9,78.4338212,17.1350798
3,Residential Plot,Maheshwaram,22.5,1111,2025,New,4.7,78.4338212,17.1350798
4,Residential Plot,Maheshwaram,56.0,1777,3150,New,5.0,78.4338212,17.1350798
5,Residential Plot,Maheshwaram,72.8,1444,5040,New,0.0,78.4338212,17.1350798
6,Residential Plot,Maheshwaram,46.05,1666,2763,New,0.0,78.4338212,17.1350798
7,Residential Plot,Maheshwaram,54.6,1444,3780,New,0.0,78.4338212,17.1350798
8,Residential Plot,Maheshwaram,31.72,1444,2196,New,5.0,78.4338212,17.1350798
9,Residential Plot,Maheshwaram,28.86,1444,1998,New,5.0,78.4338212,17.1350798
10,Residential Plot,Maheshwaram,29.1,1111,2619,New,4.7,78.4338212,17.1350798
11,Residential Plot,Maheshwaram,28.1,1111,2529,New,4.7,78.4338212,17.1350798
12,Residential Plot,Maheshwaram,27.1,1111,2439,New,4.7,78.4338212,17.1350798
13,Residential Plot,Maheshwaram,26.1,1111,2349,New,4.7,78.4338212,17.1350798
14,Residential Plot,Maheshwaram,25.1,1111,2259,New,4.7,78.4338212,17.1350798
15,Residential Plot,Maheshwaram,23.1,1111,2079,New,4.7,78.4338212,17.1350798
16,Residential Plot,Maheshwaram,20.1,1111,1809,New,4.7,78.4338212,17.1350798
17,Residential Plot,Maheshwaram,24.5,1111,2205,New,4.7,78.4338212,17.1350798
18,Residential Plot,Maheshwaram,24.0,1111,2160,New,4.7,78.4338212,17.1350798
19,Residential Plot,Maheshwaram,23.0,1111,2070,New,4.7,78.4338212,17.1350798
20,Residential Plot,Maheshwaram,23.5,1111,2115,New,4.7,78.4338212,17.1350798
21,Residential Plot,Maheshwaram,22.0,1111,1980,New,4.7,78.4338212,17.1350798
22,Residential Plot,Maheshwaram,21.0,1111,1890,New,4.7,78.4338212,17.1350798
